title,totalScore,reviewsCount,price,street,city,categoryName,rank,popularTimesLiveText
Restaurant Hohenegg,4.2,1428,€20–30,Hoheneggstraße 45,Konstanz,German restaurant,48,Less busy than usual
Café Restaurant Fürstenhof,4.4,355,€10–20,Maximilianstraße 4,Regensburg,German restaurant,139,
Öxle's Schwanenstüble - Partyservice,4.6,520,€20–30,Marktpl. 3,Markdorf,German restaurant,57,Less busy than usual
Restaurant Wirtshaus am Bächle,4.5,268,€10–20,Leonie-Fürst-Straße 11,Friedrichshafen,German restaurant,39,Less busy than usual
Constanzer Wirtshaus,4.4,6122,€20–30,Spanierstraße 3,Konstanz,German restaurant,31,Less busy than usual
Restaurant Steg 4,3.6,1165,€20–30,Hafenstraße 8,Konstanz,German restaurant,29,
Zum Klosterwirt | Restaurant - Wirtshaus - Lounge,4.7,2018,€20–30,Flugplatzstraße 23,Friedrichshafen,German restaurant,10,As busy as it gets
Restaurant Biergarten,3.7,33,€10–20,M89J+WC,Immenstaad,German restaurant,5,
Schlossschenke Wackerstein,4.6,160,€10–20,Vohburger Str. 56,Pförring,German restaurant,128,
Gaststätte Moosalm,4.6,154,€10–20,Neuburger Str. 5,Karlshuld,German restaurant,107,
Hugl,4.4,183,€20–30,Schutterstraße 6,Ingolstadt,German restaurant,98,
Gasthaus Heidesee,4.2,584,€20–30,Schulstraße 11A,Faßberg,German restaurant,38,
Gaststätte Spiller Inh. Anneliese Müller,4.5,63,€20–30,Hauptstraße 28,Suderburg,German restaurant,6,
Sperling Speiselokal,4.5,239,€20–30,Dammweg 1,Großmehring,German restaurant,12,
Hotel Hubertus,4.0,301,€20–30,Am Wildgehege 3,Brome,German restaurant,2,
Landhotel & Restaurant Fahrenkamp,4.6,110,€50+,Sonnenstraße 1,Klötze,German restaurant,5,
Gaststätte Zur Talsperre,4.2,70,€20–30,Klingenthaler Str. 9,Grünbach,German restaurant,119,
Gasthaus Voigtsgrün,4.5,208,€20–30,Dorfring 12,Neuensalz,German restaurant,113,
Landgasthof Plohnbachtal,4.7,374,€50+,"Landgasthof Plohnbachtal UG, Rodewischer Str. 23",Lengenfeld,German restaurant,90,
Gaststätte Zur Mutsch,4.3,114,€10–20,Hammerbrücker Str. 30,Falkenstein,German restaurant,99,
Gaststätte „Turnhalle Ellefeld“,4.6,81,€10–20,Turnstraße 5,Ellefeld,German restaurant,83,
Gaststätte zum Weihnachtsland,4.5,124,€10–20,Schönheider Str. 70,Stützengrün,German restaurant,80,
Zur Tanne,4.3,341,€10–20,Klingenthaler Str. 24,Muldenhammer,German restaurant,91,
Gaststätte Vaterland,4.7,144,€20–30,Munzstraße 2,Treuen,German restaurant,74,
Wernesgrüner Brauerei-Gutshof,4.5,1045,€20–30,Bergstraße 2,Steinberg,German restaurant,56,Not busy
Gaststätte Bauernschänke,4.5,376,€10–20,Grünbacher Str. 33,Muldenhammer,German restaurant,8,
Gaststätte und Pension Zur Goldenen Höhe,4.4,647,€10–20,Goldene Höhe 3,Treuen,German restaurant,11,Not too busy
Gasthaus Stollmühle,4.8,421,€50+,Talstraße 38,Stützengrün,German restaurant,9,
Restaurant Zum Schlossturm,4.7,713,€20–30,Schloßstraße 8A,Auerbach,German restaurant,1,Not busy
Gaststätte Zur Linde,4.7,6,€20–30,Kirchstraße 2,Kleinbartloff,German restaurant,28,
Dorfkrug Zum Heideröslein,4.1,34,€20–30,Heinrich-Werner-Straße 4,Leinefelde-Worbis,German restaurant,24,
Stummel... Rast mit Genuss,4.5,642,€10–20,Auf dem Pfingstrasen 4,Breitenworbis,German restaurant,19,
Hotel & Restaurant Berliner Hof,3.4,96,€20–30,Hauptstraße 62,Bleicherode,German restaurant,16,
Cafe Restaurant Karatsbichl,4.1,504,€10–20,Karatsbichlweg 1,Oberstdorf,German restaurant,166,
"die Dorfwirtschaften ""Gaisbock"" und ""Kreuzwirt""",4.4,1756,€20–30,Hauptstraße 11 | D,Fischen,German restaurant,162,
Fuchsalm Balderschwang,4.5,396,€20–30,Haus 77,Balderschwang,German restaurant,128,
Restaurant Purfinger Haberer,4.8,1063,€20–30,Neufarner Str. 20,Vaterstetten,German restaurant,48,
"Gaststätte zum Adler, Bad Wimpfen",4.6,88,€10–20,Hauptstraße 49,Bad Wimpfen,German restaurant,156,
Gaststätte zum Lamm,4.6,285,€20–30,Marktstraße 1,Schwaigern,German restaurant,124,
Zum Bahnhof,4.6,237,€20–30,Bahnhofstraße 57,Gemmingen,German restaurant,113,Now: Usually not too busy
Gaststätte Adler,4.4,133,€10–20,Hauptstraße 38,Waibstadt,German restaurant,102,Now: Usually not busy
Pam's Gaststätte im Tennisclub,4.6,48,€10–20,Weinbrennerstraße,Bad Rappenau,German restaurant,96,
Restaurant NBH,3.8,4,€20–30,Schloßstraße 1,Neckarbischofsheim,German restaurant,95,
Gaststätte Ochsen,4.5,274,€20–30,Hindenburgpl. 1,Schwaigern,German restaurant,94,
Gasthaus zum Neckartal,4.7,458,€20–30,Neckartalweg 8,Haßmersheim,German restaurant,92,
Steinsberg Castle,4.6,1762,€20–30,Steinsberg 1,Sinsheim,German restaurant,72,
Restaurant Zur Traube,4.6,456,€20–30,Sinsheimer Str. 3,Bad Rappenau,German restaurant,62,
Zur Linde,4.6,204,€20–30,Nürtinger Str. 24,Oberboihingen,German restaurant,162,
Gasthaus Löwen,4.7,437,€20–30,Esslinger Str. 4,Unterensingen,German restaurant,136,
Gasthaus zum Adler,4.4,355,€20–30,Harthäuser Str. 2,Aichtal,German restaurant,123,
Zur Alten Mühle,4.4,278,€20–30,Siegfriedstraße 305,Heppenheim,German restaurant,123,
Restaurant Schäferhof,4.7,428,€20–30,Boller Str. 4,Zell unter Aichelberg,German restaurant,116,
Weinhaus zum Zwicker,4.7,159,€40–50,Gewerbeschulstraße 3,Worms,German restaurant,113,
Zur Linde,4.5,106,€10–20,Reichenbacher Str. 28,Lautertal,German restaurant,114,
Restaurant Silberdistel,4.7,75,€20–30,Kelterstraße 71,Unterensingen,German restaurant,86,
Cafe Restaurant Aichelberg,4.7,389,€10–20,Steigstraße 64,Aichelberg,German restaurant,75,
Gaststätte Zum Bahnhof,4.3,206,€10–20,Bachstraße 60,Laudenbach,German restaurant,98,
Krug-Das Restaurant,4.6,566,€30–40,Wingertsgewann 8,Lampertheim,German restaurant,88,
Restaurant zur Bergstraßenhalle,4.3,344,€20–30,Dr.-Werner-Freyberg-Straße 5,Laudenbach,German restaurant,85,
Restaurant Panorama,4.3,340,€20–30,Galgenberg 2,Kirchheim unter Teck,German restaurant,55,
Gasthaus zur Traube,4.6,204,€20–30,Brückenstraße 21,Wendlingen,German restaurant,44,
Bonländer Eck - Restaurant & Biergarten,4.3,102,€10–20,Alfons-Fügel-Straße 28,Filderstadt,German restaurant,35,Not too busy
Gaststätte zum Talblick,4.5,1189,€20–30,Ohlystraße 3,Seeheim-Jugenheim,German restaurant,76,
Waldschenke Fuhr - Hotel-Café-Restaurant,4.2,743,€20–30,Auf d. Juhöhe 25,Mörlenbach,German restaurant,74,
"Gaststätte ""Zum Steigkopf""",4.4,1136,€10–20,Siegfriedstraße 64646,Heppenheim,German restaurant,62,
Gasthaus Pfählhof,4.5,101,€20–30,Pfählhof 2,Bad Urach,German restaurant,13,
Almresi Metzingen,4.3,1080,€20–30,Hugo-Boss-Platz 3,Metzingen,German restaurant,9,
Restaurant Gaststätte Neuroth,4.6,109,€20–30,Gernsheimer Str. 68,Pfungstadt,German restaurant,145,
TuS Weinsheim Restaurant,4.8,48,€10–20,Heuweg 20,Worms,German restaurant,57,
Restaurant Zum Pfrimmpark,4.6,386,€20–30,Wehrgasse 25,Worms,German restaurant,49,
